,May 26,May 25,May 24,May 23,May 22,May 21,May 20,May 19,May 18,May 16,May 15,May 14,May 13,May 12,May 10,May 09,May 07,May 06,March 01,February 28,February 24,February 20,February 18,February 13,February 11,February 08,February 04,February 01,January 30,January 29,January 28,January 27,January 26,January 25,January 22,January 22,January 19
Singapore,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,7,7,4,2,2,2,2,5,5,4,5,5,8,10,10,10,10,10,23
New Zealand,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,8,11,13,16,19,19,18,16,19,21,21,20,19,18,19,19,19,18,18,21
Chile,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,18
Hungary,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,15,7,27,27,27,27,23,29,23,17,15,15,18,26,23,20,23,21,23
Ireland,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,13,15,25,28,28,21,19,2,27,28,24,10,2,2,2,2,2,2,2
Argentina,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,2,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Turkey,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,13,13,13,22,19,15,24,20,18,15,12,15,15,15,17,12,21
Japan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,25,21,21,20,20,15,15,15,12,18,21,25,23,25,29,23,25
South Africa,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,13,13,16,19,19,19,19,31,21,18,18,18,18,16,15,18,18,17,26
Malaysia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,13
Israel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,11,13,28,27,25,15,18,21,18,21,22,21,23,20,23,9,23,23,16
Slovakia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,17,17,20,15,15,18,18,17,15,14,17,20,19,17,17,17,23,19,15
Portugal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,11,11,24,24,18,24,21,21,24,18,21,16,20,24,25,24,21,22,22
"Taiwan, Republic of China",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,4,4,2,2,2,2,4,9,9,9,11,12,10,11,9,22
Greece,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,15,15,21,22,25,15,16,12,12,15,15,21,17,25,21,24,22,10,2
Philippines,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,13,13,10,13,12,10,13,15,21,16,19,18,18,15,18,17,23
Indonesia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,16,16,19,20,17,18,21,19,15,15,14,15,16,16,18,17,24
Colombia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,7,14
Romania,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,23,22,19,21,27,25,19,24,17,25,22,23,25,24,21,20,24
Peru,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,5,7,7,7,5,7,7,5,5,5,5,7,7,7,8,8,20
Ukraine,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,11,13,21,21,19,22,22,17,21,20,20,20,20,24,24,19,20,14,20
"Hong Kong, SAR China",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,19,27,27,28,24,24,21,27,24,25,24,24,4,4,4,4,4,4
Ecuador,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,2,5,2,4,4,4,4,4,6,6,6,4,4,4,8,8,18
Iceland,5,5,5,5,5,5,5,5,5,5,5,11,11,9,7,7,5,7,7,7,2,2,2,26,26,26,2,2,25,27,22,23,25,24,24,23,2
Lithuania,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,13,19,2,28,27,21,24,24,24,2,28,27,24,22,25,9,2,2,2
Estonia,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,11,11,17,2,27,24,21,21,18,15,20,20,22,2,2,2,5,2,8
Latvia,5,5,9,5,7,7,7,7,7,7,9,9,9,7,7,7,7,7,17,17,25,27,26,17,17,21,17,20,23,23,22,27,27,8,4,4,4
Viet Nam,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,18,18,18,19,17,11,18,12,11,11,18,18,18,19,22,21,23
Saudi Arabia,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,9,7,7,4,2,2,4,4,4,4,4,4,4,9,9,9,9,9,9,22
United Arab Emirates,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,8,9,9,11,11,8,20,26,21,26,23,26,23,19,9,4,4
Bulgaria,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,19,19,27,24,21,30,29,2,26,26,23,19,22,23,18,23,18,19,2
Korea (South),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,5,2,5,2,2,26,8,5,5,5,5,5,5,5,4,4,4
Luxembourg,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,19,19,19,10,2,2,2,2,2,9,2,2,2,25,23,24,20,9,5
Costa Rica,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,5,4,7,4,4,4,4,4,4,4,4,2,2,2,4,7,18
Uruguay,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,4,4,10,2,4,4,4,2,2,2,2,2,2,5,2,18
Guatemala,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7
Thailand,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,27,27,27,29,25,28,27,28,28,22,23,22,27,27,25,25,25
Panama,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,2,2,2,2,2,4,4,2,2,2,5,5,5,2,4,21
Cyprus,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,27,28,28,2,2,30,28,25,18,26,9,2,2,2,2,2,2
Morocco,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,20,27,27,29,29,29,29,28,24,21,20,20,22,24,24,20,18
Bolivia,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,6,6,6,4,4,5,2,2,2,2,2,2,2,2,4,4,19
Croatia,5,7,7,7,7,7,7,7,7,5,5,5,5,7,7,7,5,7,15,19,22,18,18,21,18,18,18,20,23,20,23,2,2,2,2,2,5
Dominican Republic,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,8,8,8,6,6,6,6,7,2,2,4,4,4,4,6,8,23
Egypt,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,9,9,9,11,11,8,8,8,7,7,4,2,2,2,4,4,4
Paraguay,7,7,7,7,7,7,7,7,7,7,5,5,5,7,7,7,7,9,7,7,6,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,4
Belarus,7,7,7,7,5,5,7,7,7,9,11,11,11,9,11,9,9,9,15,15,22,19,20,23,23,20,20,4,4,4,4,4,4,5,2,2,5
Slovenia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,15,15,10,2,2,2,2,2,5,2,5,5,5,2,2,2,22,19,8
Malta,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,7,7,19,5,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2
Kazakhstan,7,7,9,9,13,13,11,11,9,9,9,9,9,7,7,11,11,15,7,7,4,4,2,2,2,2,28,4,22,22,25,24,24,24,9,4,4
El Salvador,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,8,4,4,2,2,2,2,2,2,2,2,4,4,4,4,6,14
Pakistan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,21,27,27,23,23,26,23,23,23,24,24,2,2,2,28,27,5
Algeria,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,19,19,26,26,23,23,23,22,23,20,21,22,17,7,7,7,7,4,7
Serbia,5,5,5,5,7,7,5,5,5,5,5,5,5,5,5,5,5,7,7,7,10,2,2,2,2,28,27,27,27,9,2,2,2,2,5,5,5
Kuwait,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,9,13,7,17,20,20,23,23,20,23,23,19,20,24,19,19,18,7,7,7
Tunisia,11,11,11,5,5,5,11,11,11,11,11,11,11,13,13,11,11,13,7,7,4,27,26,2,2,29,4,29,25,25,8,4,4,4,7,7,7
Venezuela (Bolivarian Republic),11,9,9,9,9,9,9,9,11,5,13,13,13,13,13,13,11,13,19,17,21,21,17,20,17,5,4,4,4,4,4,4,4,4,4,4,7
Moldova,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,19,15,4,4,2,2,2,2,7,4,4,4,4,4,4,4,7,7,10
Sri Lanka,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,19,19,26,23,23,28,28,28,28,28,28,28,25,20,22,23,20,18,22
Honduras,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,8,8,8,8,9,4,9,4,4,6,4,4,4,8,8,24
Lebanon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,6,15
Oman,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,5,2,2,7,7,5,5,7,8,8,8,7,8,8,11,8,18
Nicaragua,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,20,20,8,2,2,28,28,28,5,5,5,2,2,2,2,2,2
Qatar,13,11,9,9,11,11,11,9,9,9,9,9,9,7,7,5,7,9,15,13,17,11,11,17,17,28,4,29,26,10,5,2,2,2,5,5,5
Jordan,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,19,19,7,7,5,7,2,5,7,4,4,4,4,7,7,7,4,4,4
Maldives,5,5,5,5,7,7,7,7,7,7,11,11,11,9,7,7,7,9,7,7,7,7,5,5,5,5,29,28,22,22,25,16,19,22,9,9,13
Bangladesh,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,26,27,27,23,23,5,4,4,24,22,24,4,4,4,9,7,13
Bahrain,9,9,9,7,7,7,9,9,9,9,9,13,13,13,13,13,13,11,7,7,8,8,8,11,11,23,29,29,23,28,24,22,25,19,24,22,23
Azerbaijan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,19,19,9,2,27,29,9,28,29,25,18,21,22,4,4,4,20,24,24
Andorra,5,5,5,13,13,13,13,13,11,11,11,11,11,5,5,5,5,7,7,7,5,2,2,2,2,2,2,2,5,5,2,2,2,2,8,5,14
Bosnia and Herzegovina,13,13,13,13,13,13,13,13,13,13,13,13,13,5,5,5,5,7,7,7,4,2,2,28,28,28,4,2,4,4,4,4,4,4,7,7,7
Liechtenstein,5,5,13,13,5,5,5,5,13,5,5,5,5,5,5,5,5,7,7,7,2,2,2,5,2,2,4,4,7,7,7,7,7,7,7,9,10
Kenya,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,13,13,13,7,7,7,7,5,2,2,2,28,28,23,24,26,22,23,24,24,23,23
Georgia,5,5,5,5,5,5,5,13,13,13,5,5,5,5,5,5,5,7,7,7,4,26,26,2,2,2,7,7,7,7,7,7,7,7,7,23,24
"Macedonia, Republic of",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,4,2,2,2,2,4,4,4,4,4,4,4,4,5,5,5
Uzbekistan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,4,26,5,5,29,29,28,26,21,22,24,24,24,26,23,17
Brunei Darussalam,13,13,5,13,13,13,13,13,13,13,13,13,13,5,5,13,13,15,19,19,20,26,26,26,26,2,4,4,7,7,4,4,4,4,9,9,16
Nigeria,7,7,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,9,7,7,26,26,26,2,2,2,4,4,7,7,7,7,7,7,9,9,10
Trinidad and Tobago,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,4,2,5,5,7,4,4,4,4,4,4,4,4,7,9,13
Albania,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,4,2,5,5,2,4,7,7,7,7,7,7,7,9,7,7
Cambodia,5,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,13,15,7,7,7,8,5,28,8,4,28,28,7,7,9,7,7,7,9,9,7
Mauritius,5,13,13,13,13,5,13,13,13,13,13,13,13,5,5,5,5,7,7,19,8,26,26,23,23,28,26,28,24,24,24,7,7,7,4,4,4
Jamaica,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,4,5,2,2,5,9,7,9,9,9,7,7,7,9,9,15
Palestinian Territory,13,11,13,13,13,13,13,13,13,13,13,11,11,5,5,5,5,7,7,7,7,7,5,2,2,5,7,7,7,7,7,7,7,7,7,7,10
Monaco,5,5,5,5,5,5,5,5,5,5,5,13,13,13,11,11,11,13,7,7,2,2,2,5,5,7,4,4,7,7,7,4,4,4,9,9,13
Nepal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,7,7,7,26,8,2,2,2,28,29,28,21,8,4,23,24,26,24,23,24
Kosovo,5,13,13,5,5,5,5,5,5,5,13,13,13,13,13,13,11,13,7,7,4,4,2,4,2,2,4,4,4,4,4,4,4,4,4,4,7
Iraq,13,13,13,13,13,11,11,11,11,11,11,11,11,11,9,9,11,13,7,7,4,4,8,2,2,5,9,4,9,9,9,24,24,26,26,26,15
Kyrgyzstan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,4,2,5,5,5,7,7,7,7,7,4,4,4,7,7,7
Montenegro,5,5,13,13,13,13,13,13,13,13,5,5,5,5,5,5,5,7,7,7,4,7,5,2,2,2,7,7,7,7,4,4,4,4,7,7,10
Armenia,5,5,5,5,13,13,13,13,13,13,13,13,13,13,5,5,5,7,7,7,4,7,5,5,5,8,7,4,9,9,9,7,7,7,9,9,13
Mongolia,5,5,5,5,13,13,13,13,13,13,5,5,5,5,5,5,5,7,7,7,4,4,2,2,2,5,7,4,7,7,7,4,4,4,7,7,11
"Macao, SAR China",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,7,5,5,5,5,7,4,9,9,9,4,4,4,9,9,18
Papua New Guinea,13,13,13,13,5,5,5,5,13,13,13,13,13,13,5,5,5,7,7,7,9,9,8,9,5,5,9,9,9,9,9,20,19,15,12,9,24
Barbados,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,5,7,7,7,7,9,7,7,7,9,9,13
Zimbabwe,11,9,13,13,9,9,11,11,13,5,5,5,5,5,5,5,5,7,7,7,4,4,2,5,5,2,9,7,9,9,9,7,7,7,9,9,16
Zambia,5,5,5,5,5,5,5,5,5,13,13,13,13,13,13,12,13,15,19,19,26,7,5,29,29,26,9,7,9,9,10,26,26,23,28,23,20
Seychelles,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,5,9,7,7,7,7,7,7,7,9,9,10
Belize,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,7,5,8,9,7,24,27,24,25,24,9,9,9,16
Suriname,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,7,7,4,4,4,4,4,4,4,7,7,10
"Tanzania, United Republic of",13,13,13,13,13,13,13,13,5,5,5,5,5,5,5,5,5,7,7,7,4,4,2,2,2,5,7,4,4,4,4,4,4,4,7,9,13
Fiji,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,5,9,7,9,9,7,4,4,4,9,9,13
Guyana,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,4,2,5,5,5,9,7,9,9,7,4,4,4,9,9,18
Uganda,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,5,7,7,7,7,7,7,7,7,9,9,13
Botswana,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,7,7,7,7,7,7,9,9,10
Mozambique,13,13,13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,18
Ghana,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,29,28,29,7,9,9,9,7,7,7,9,9,13
Haiti,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,14
Curaçao,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,7,5,5,7,7,7,7,7,7,7,7,9,9,10
Bahamas,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,7,5,7,5,5,9,7,9,9,7,4,4,4,9,9,16
Malawi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,18
Côte d'Ivoire,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,19,19,7,7,5,5,5,7,7,4,9,9,9,7,7,7,9,9,13
Libya,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,7,5,7,7,7,7,7,9,7,7,7,9,9,18
Lao PDR,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,8,7,7,7,8,9,18
San Marino,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,7,7,4
Bhutan,5,5,5,5,5,5,5,5,5,5,13,13,13,13,13,13,13,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,18
Angola,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,2,7,7,4,26,24,28,25,26,22,22,23,17
Saint Lucia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,7,7,9,9,9,7,7,7,9,9,16
Cape Verde,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,7,5,5,5,8,9,7,7,7,4,7,7,7,9,9,15
Grenada,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,4,4,4,9,9,13
Tajikistan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,8,9,7,7,7,9,9,16
Senegal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,18
Madagascar,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,17
Gabon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,9,9,7,9,9,9,7,7,7,9,9,18
Sierra Leone,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,16
Antigua and Barbuda,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,8,9,7,7,7,9,9,18
Saint Kitts and Nevis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,9,9,7,9,9,9,7,7,7,9,9,16
Saint Vincent and Grenadines,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,16
Palau,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,18
Rwanda,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,2,2,5,7,4,7,7,7,7,7,7,9,9,18
Cameroon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,9,9,7,9,9,9,7,7,7,9,9,18
Mauritania,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,4,5,5,5,5,9,7,9,9,9,7,7,7,9,9,18
Dominica,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,18
Togo,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,18
Tonga,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,7,5,8,9,7,9,9,9,7,7,7,9,9,14
Benin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,15,15,7,7,5,7,5,8,9,7,9,9,9,7,7,7,9,9,16
Swaziland,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,18
Timor-Leste,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,9,9,4,7,7,7,4,4,4,9,9,16
"Congo, (Kinshasa)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,9,9,7,9,9,9,7,7,7,9,9,18
Gambia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,18
Solomon Islands,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,17
Nauru,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,8,8,8,9,7,9,9,9,7,7,7,9,9,16
Lesotho,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,18
Djibouti,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,8,7,7,7,9,9,17
Samoa,5,5,5,5,5,5,5,5,5,13,13,13,13,13,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,17
Mali,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,4,4,2,5,5,7,7,7,7,7,7,7,7,7,9,9,16
Burkina Faso,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,7,5,8,9,7,9,9,9,7,7,7,9,9,18
Guinea-Bissau,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,17
Sao Tome and Principe,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,17
Guinea,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,5,8,9,7,9,9,9,7,7,7,9,9,16
