,May 25,May 24,May 23,May 22,May 21,May 20,May 19,May 18,May 16,May 15,May 14,May 13,May 12,May 10,May 09,May 07,May 06,March 01,February 28,February 24,February 20,February 18,February 13,February 11,February 08,February 04,February 01,January 30,January 29,January 28,January 27,January 26,January 25,January 22,January 22,January 19
Ukraine,22,14,22,22,20,18,28,24,24,29,17,5,5,24,17,14,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hong Kong, SAR China",5,10,11,5,5,11,8,19,5,5,5,5,5,7,9,8,5,11,42,-,-,-,-,-,-,-,-,-,-,-,9,9,6,9,10,23
Ecuador,13,13,12,12,15,17,17,17,17,17,17,17,17,15,18,15,18,22,22,25,22,20,25,22,25,31,29,26,28,24,23,22,23,27,31,58
Iceland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,4,4,4,-,-,-,4,7,-,-,-,-,-,-,-,-,27
Lithuania,35,33,41,38,33,33,31,36,27,29,29,7,7,10,30,29,29,-,-,4,-,-,-,-,-,-,8,-,-,-,-,-,11,12,8,24
Estonia,32,33,33,33,30,35,12,11,17,11,14,7,14,11,17,21,11,-,-,-,7,-,-,-,-,-,-,-,-,-,7,7,6,10,10,21
Latvia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,12,8,22
Viet Nam,13,14,14,13,11,5,5,5,10,2,14,15,9,11,13,11,10,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,30,31,32,30,32,31,27,26,36,37,35,42,30,5,34,32,31,21,21,27,26,28,26,26,29,31,30,25,28,28,31,30,43,-,-,-
United Arab Emirates,20,21,23,24,24,32,24,30,25,31,20,31,31,23,26,23,25,29,26,34,46,45,58,61,-,-,-,-,-,-,-,-,-,16,14,25
Bulgaria,18,18,25,24,21,28,25,26,23,29,28,24,31,32,28,29,27,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,28
Korea (South),21,25,20,29,28,31,28,20,31,31,27,31,32,27,18,24,18,33,88,5,11,8,9,10,-,15,13,10,10,13,14,13,16,16,19,38
Luxembourg,2,2,5,2,2,17,13,15,2,2,2,2,23,25,23,17,21,-,-,-,10,4,6,11,11,2,14,10,10,7,-,-,-,-,16,25
Costa Rica,13,11,13,15,11,19,18,15,17,17,11,15,13,11,13,10,13,21,21,29,25,27,28,26,28,26,27,23,27,24,24,23,26,24,34,97
Uruguay,12,17,17,17,17,14,19,21,21,21,21,21,23,20,16,17,16,23,23,32,30,32,29,29,34,30,29,27,26,23,20,21,23,24,30,81
Guatemala,15,10,13,10,13,13,13,13,13,13,13,13,15,14,11,11,13,15,15,15,14,8,13,8,11,11,10,8,8,11,8,8,7,7,9,31
Thailand,24,25,24,16,25,17,29,26,24,31,24,28,26,23,27,27,26,25,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Panama,24,16,25,29,23,23,25,16,27,32,27,31,22,26,19,16,19,23,21,36,31,30,27,25,25,32,28,22,21,20,20,23,25,23,28,66
Cyprus,4,19,19,17,17,17,16,15,15,15,15,2,4,4,15,17,12,9,9,-,-,-,9,15,-,-,-,-,-,16,11,10,11,17,17,32
Morocco,8,12,13,12,10,12,11,12,15,17,2,18,15,13,10,10,13,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32
Bolivia,23,20,23,15,21,21,21,23,22,19,19,19,17,15,15,13,15,13,15,28,27,20,24,22,25,28,24,18,18,21,21,18,20,18,18,65
Croatia,7,7,4,7,7,19,8,8,25,21,27,31,23,27,25,24,23,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,7,8,24
Dominican Republic,29,36,35,34,34,26,29,30,26,35,30,30,36,32,23,28,27,19,19,34,36,34,28,33,26,28,29,19,21,19,23,21,24,33,47,-
Egypt,14,16,16,20,18,18,18,18,19,19,13,13,12,13,15,9,13,11,13,66,54,64,62,54,47,36,34,33,30,20,19,21,22,22,22,18
Paraguay,21,28,23,29,27,29,32,24,35,35,28,39,32,29,26,32,29,17,17,28,32,32,28,22,21,27,22,17,16,14,14,14,13,15,19,34
Belarus,36,37,40,-,-,36,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,8,11,10,9,10,11,16,31
Slovenia,12,7,7,10,12,10,7,10,10,16,11,2,10,10,10,9,4,-,-,7,7,4,7,7,7,8,8,11,12,9,5,5,4,-,-,20
Malta,30,37,27,36,39,34,35,31,29,40,35,35,-,-,-,-,-,-,-,-,9,6,10,8,6,6,13,11,16,14,16,12,13,19,19,33
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,5,2,6,10,8,2,-,2,-,-,-,-,-,-,12,13,28
El Salvador,21,21,24,25,24,25,30,29,25,36,24,33,34,26,30,30,35,19,19,31,28,27,24,21,27,25,26,24,21,21,22,20,17,21,28,69
Pakistan,6,6,4,4,4,4,4,4,6,8,2,2,8,6,6,6,4,14,15,-,-,-,-,-,-,-,-,-,-,-,12,11,13,-,-,33
Algeria,5,5,3,9,9,11,11,9,9,15,15,15,12,12,9,13,11,-,-,-,-,-,-,-,-,-,-,-,-,-,13,12,14,19,15,34
Serbia,23,23,23,13,19,18,18,25,24,35,28,28,39,36,29,34,37,11,11,11,5,5,5,4,-,-,-,-,13,9,5,6,6,9,11,28
Kuwait,28,28,23,26,28,31,30,26,36,31,31,35,27,35,31,26,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,14,33
Tunisia,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,14,12,5,-,-,7,7,-,5,-,-,-,16,13,13,13,14,15,29
Venezuela (Bolivarian Republic),-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,11,13,13,15,15,13,13,12,19,17,37
Moldova,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,-,-,8,10,10,7,7,11,14,10,9,15,15,12,12,14,17,17,34
Sri Lanka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,36,30,29,36,30,33,36,25,26,35,29,32,34,32,34,27,31,24,25,34,34,33,31,30,32,29,31,24,26,25,25,27,23,26,49,-
Lebanon,19,20,21,21,19,21,21,23,22,25,14,21,19,14,15,13,9,13,11,5,7,7,4,2,5,2,2,5,5,8,7,7,8,28,35,65
Oman,22,19,19,17,17,19,19,15,15,13,10,13,13,13,15,15,13,19,19,13,31,20,21,24,10,22,30,28,30,29,33,33,34,45,46,35
Nicaragua,25,25,25,27,29,24,26,29,22,23,20,23,19,26,20,21,21,30,29,-,-,10,10,10,-,-,-,2,2,2,8,8,8,12,17,24
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,11,13,10,10,9,16,20,36
Jordan,29,31,19,27,27,30,34,32,-,-,-,-,36,34,41,37,32,-,-,5,7,8,9,9,12,12,10,14,15,11,11,11,14,18,18,34
Maldives,21,21,18,25,26,34,30,85,-,-,-,-,-,-,-,93,-,11,11,11,16,16,16,18,13,-,-,-,-,-,-,-,-,22,21,41
Bangladesh,9,7,5,5,7,7,5,5,5,7,7,7,9,9,9,13,13,19,17,-,-,-,-,-,15,11,13,-,-,-,15,15,15,15,18,41
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,29,41,59,-,94,-,-,-,-,-,-,-,-,-,-,-,-,-
Azerbaijan,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,-,-,15,9,-,-,12,-,-,-,-,-,-,15,12,14,-,-,-
Andorra,3,3,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,9,9,9,12,11,11,8,11,13,10,10,16,13,13,15,16,23,20,40
Bosnia and Herzegovina,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,9,11,11,10,9,-,-,-,12,12,13,12,13,10,9,10,16,16,32
Liechtenstein,3,-,-,3,3,3,3,40,3,3,3,3,5,5,5,5,5,11,11,7,11,11,18,18,21,19,20,18,18,17,17,16,22,22,19,38
Kenya,3,3,3,3,3,3,3,3,1,1,1,1,3,37,-,-,-,9,9,9,15,11,10,8,8,-,-,-,-,-,-,-,-,-,-,-
Georgia,4,4,4,1,1,1,40,-,-,-,1,1,4,4,4,4,4,12,10,12,-,-,9,9,11,13,13,11,15,12,11,11,12,26,-,-
"Macedonia, Republic of",1,1,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,10,10,10,10,11,11,8,11,5,9,8,8,9,10,10,13,15,17,31
Uzbekistan,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,11,11,13,17,-,11,22,-,-,-,-,-,-,-,-,-,-,-,42
Brunei Darussalam,-,3,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,16,14,15,16,18,18,16,15,17,20,20,42
Nigeria,37,36,32,40,43,38,41,38,37,40,36,40,-,-,-,-,-,19,23,-,-,-,15,15,13,16,18,14,18,18,14,15,18,22,21,35
Trinidad and Tobago,5,5,5,5,5,3,3,3,3,3,3,3,5,5,5,5,5,9,9,13,13,13,10,13,10,18,16,15,13,13,13,12,15,22,18,39
Albania,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,9,9,5,6,6,6,6,9,9,10,10,13,13,10,10,16,16,18,38
Cambodia,3,3,3,3,3,3,42,-,-,-,-,-,-,-,-,-,-,11,9,7,13,11,-,14,15,-,-,14,18,15,19,15,19,23,25,38
Mauritius,-,-,-,3,3,39,-,-,-,-,-,-,5,5,5,5,5,11,43,12,-,-,-,-,-,-,-,-,-,-,16,14,19,19,20,42
Jamaica,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,11,11,14,14,17,18,19,20,20,18,16,21,18,18,17,19,23,22,44
Palestinian Territory,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,11,11,14,12,11,9,9,12,14,15,16,19,17,16,16,16,18,22,42
Monaco,3,3,5,5,5,5,5,5,3,42,-,-,-,-,-,-,-,13,13,16,14,14,14,14,17,17,18,18,17,16,17,18,22,23,21,42
Nepal,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,41,5,9,11,-,11,11,11,21,-,-,-,-,17,16,-,-,-,-,-,-
Kosovo,-,-,3,3,3,3,3,1,1,45,-,-,-,-,-,-,-,11,11,8,14,12,14,14,15,13,16,17,15,17,19,18,20,23,25,43
Iraq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,11,12,13,14,13,13,18,15,11,14,15,15,-,-,-,-,-,38
Kyrgyzstan,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,11,11,14,15,16,14,14,17,19,18,16,21,20,16,15,16,23,24,43
Montenegro,3,-,-,-,-,-,-,-,-,3,3,3,5,5,5,5,5,11,11,10,13,10,15,15,18,17,16,18,20,17,19,18,20,21,22,42
Armenia,3,3,3,43,-,-,-,-,-,-,-,-,-,5,5,5,5,13,13,16,12,14,16,16,16,16,15,16,20,21,19,20,21,23,23,44
Mongolia,3,5,5,-,-,-,-,-,-,3,3,3,5,5,5,5,5,13,13,14,14,14,14,14,17,17,18,17,18,19,15,16,16,21,19,38
"Macao, SAR China",3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,15,15,18,18,18,16,16,21,21,20,19,22,25,20,19,23,25,25,46
Papua New Guinea,-,-,-,5,5,5,5,46,-,-,-,-,-,7,7,7,7,32,31,40,40,35,18,24,14,27,38,34,35,38,-,-,-,-,-,-
Barbados,5,5,5,5,5,5,5,5,3,3,3,3,5,5,6,7,7,13,13,14,14,14,16,16,19,19,18,20,21,23,17,16,22,23,25,43
Zimbabwe,-,-,-,-,-,-,-,-,3,3,3,3,5,5,5,5,5,9,9,15,16,16,13,13,19,19,18,16,20,20,19,21,21,26,23,45
Zambia,3,3,3,3,3,5,5,5,46,-,-,-,-,-,-,-,-,-,-,-,16,16,-,-,-,18,18,18,24,25,-,-,-,-,-,-
Seychelles,3,3,3,3,3,3,3,3,3,3,3,3,7,7,5,5,5,13,13,13,16,13,15,13,19,19,18,17,19,16,14,17,18,23,20,43
Belize,5,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,13,13,16,16,18,18,16,19,19,26,-,-,-,-,-,19,18,21,38
Suriname,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,16,16,18,16,19,19,18,20,21,20,21,17,19,24,25,43
"Tanzania, United Republic of",-,-,-,-,-,-,-,3,3,3,3,3,5,5,5,5,5,13,13,17,14,14,14,14,20,20,18,17,17,18,18,18,19,24,24,42
Fiji,5,5,5,5,5,5,5,5,3,3,3,3,5,5,7,7,7,15,15,16,16,14,14,14,16,18,17,16,19,21,18,16,20,24,23,45
Guyana,5,5,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,13,13,14,16,14,17,17,19,21,20,23,23,20,19,20,19,25,24,44
Uganda,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,6,7,13,13,15,15,18,18,18,20,18,15,14,17,16,13,15,21,22,25,46
Botswana,5,5,5,5,5,3,3,3,3,3,3,3,5,5,5,5,7,13,13,14,11,14,12,12,17,17,19,16,21,22,17,21,19,22,22,42
Mozambique,-,-,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,13,13,13,14,13,16,16,19,19,18,21,22,23,17,18,20,18,23,43
Ghana,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,13,13,16,16,16,16,-,-,-,18,19,21,18,19,18,20,21,23,42
Haiti,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,16,16,16,16,16,19,19,18,21,19,19,20,22,20,25,22,43
Curaçao,5,5,5,5,5,3,3,3,5,5,5,5,7,7,7,7,7,13,13,18,16,16,14,17,19,14,15,14,14,19,15,17,19,22,24,42
Bahamas,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,18,13,13,16,16,19,21,18,19,23,20,20,18,21,23,23,44
Malawi,5,5,5,5,3,3,3,3,3,3,3,3,7,7,7,7,7,15,15,18,16,14,18,18,21,22,20,16,21,18,20,20,21,24,22,44
Côte d'Ivoire,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,-,-,18,16,16,16,16,21,19,18,17,22,20,18,20,22,24,23,41
Libya,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,11,13,18,18,18,16,16,19,17,15,17,21,21,16,20,20,25,23,42
Lao PDR,3,3,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,13,13,18,16,16,18,14,17,20,18,17,22,19,17,17,18,24,24,40
San Marino,5,5,5,5,5,5,3,3,3,3,5,5,7,7,7,7,7,15,15,18,18,16,16,16,19,19,18,23,21,23,17,19,21,20,24,42
Bhutan,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,5,13,13,16,16,13,13,16,19,19,18,19,20,23,18,20,19,24,24,42
Angola,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,11,11,14,15,13,15,15,15,14,15,-,-,-,-,-,-,-,-,41
Saint Lucia,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,6,15,15,18,18,18,18,18,21,21,20,20,21,22,17,18,23,28,25,43
Cape Verde,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,6,7,15,15,18,18,18,16,16,19,19,20,19,21,19,20,18,22,24,21,45
Grenada,5,5,5,5,5,5,5,3,3,5,5,5,7,7,7,7,7,13,13,16,18,18,18,18,21,21,20,18,22,21,20,20,21,23,23,44
Tajikistan,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,13,13,16,18,16,16,16,19,21,18,18,19,18,20,17,21,24,25,43
Senegal,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,7,13,13,19,20,19,19,19,21,21,20,21,20,22,20,19,21,26,25,44
Madagascar,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,18,21,21,18,20,22,21,20,22,19,26,25,45
Gabon,5,5,3,3,3,3,3,3,3,5,5,5,7,7,7,7,7,13,13,17,19,18,16,16,21,21,21,18,22,22,20,17,21,24,27,43
Sierra Leone,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,16,16,19,19,18,19,20,23,19,19,21,25,27,45
Antigua and Barbuda,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,18,21,21,20,19,22,22,20,23,24,25,27,44
Saint Kitts and Nevis,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,17,16,18,18,21,21,20,18,22,20,20,21,20,25,25,46
Saint Vincent and Grenadines,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,13,13,18,18,18,18,18,21,21,20,20,23,22,20,21,22,25,27,46
Palau,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,18,21,21,20,20,20,24,20,18,22,23,25,46
Rwanda,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,16,16,18,13,19,21,20,17,18,24,22,18,22,25,23,45
Cameroon,3,3,3,3,3,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,16,19,19,18,17,20,20,18,17,24,25,25,44
Mauritania,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,15,15,18,18,18,18,18,21,21,20,20,24,21,20,20,21,24,24,46
Dominica,5,5,5,5,5,5,5,5,5,5,5,5,7,7,6,7,7,15,15,16,18,18,18,18,21,21,20,21,22,23,20,19,20,25,24,45
Togo,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,16,18,18,18,18,21,21,20,20,22,20,17,18,21,24,24,44
Tonga,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,12,18,18,21,21,20,23,21,20,21,19,23,28,25,46
Benin,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,-,-,18,18,18,18,18,21,21,20,19,22,20,19,19,20,25,24,47
Swaziland,5,5,5,3,3,3,3,5,3,3,3,3,5,5,5,5,5,13,13,16,16,16,16,16,19,20,18,18,24,20,17,21,20,26,20,45
Timor-Leste,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,18,19,21,20,20,22,22,17,20,23,24,24,45
"Congo, (Kinshasa)",5,5,5,5,5,5,5,5,5,5,5,5,7,7,5,5,5,15,15,18,18,16,16,16,19,21,20,21,19,21,20,20,22,25,25,45
Gambia,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,15,15,18,18,18,16,16,21,21,20,19,25,20,19,18,25,24,28,44
Solomon Islands,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,18,21,21,20,20,23,22,21,19,23,24,25,45
Nauru,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,18,21,21,20,19,22,23,22,18,21,23,24,45
Lesotho,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,15,18,18,18,18,18,21,21,20,20,23,22,17,21,23,26,26,46
Djibouti,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,18,19,19,18,19,21,19,18,21,20,23,21,45
Samoa,5,5,5,5,5,5,5,5,-,-,-,-,-,7,7,7,7,15,15,18,18,18,18,18,19,19,20,17,21,21,20,18,25,26,26,46
Mali,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,18,21,21,20,20,21,21,21,20,23,24,25,45
Burkina Faso,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,16,18,18,18,18,21,21,20,19,21,25,19,19,21,24,26,45
Guinea-Bissau,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,18,21,21,20,20,21,21,21,19,21,29,25,43
Sao Tome and Principe,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,18,21,21,20,21,23,20,21,21,22,26,23,47
Guinea,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,18,21,21,20,18,22,24,20,18,24,24,26,45
Burundi,5,5,5,5,5,5,5,5,5,5,5,5,7,7,6,7,6,15,15,19,16,16,18,18,21,21,20,21,21,20,21,21,21,26,24,45
Niger,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,16,16,21,21,20,21,21,24,17,18,22,27,25,46
Kiribati,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,18,18,21,21,20,21,22,22,20,18,22,26,25,45
Liberia,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,15,15,18,18,18,16,16,19,19,18,18,21,21,19,18,23,24,24,44
Equatorial Guinea,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,-,40,66,43,38,30,32,40,-,-,-,-,20,21,20,23,25,22,45
